,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
255,1375056000,102.85,98.45,98.78,23930.02,2412405.74,101.48,direct,
256,1375142400,107.99,100.47,101.48,26911.77,2793637.02,107.96,direct,
257,1375228800,111.65,103.55,107.96,44785.6,4838033.8,106.21,direct,
258,1375315200,108.0,103.0,106.21,13994.49,1473502.4,104.0,direct,
259,1375401600,108.0,101.21,104.0,26584.85,2793208.56,104.5,direct,
260,1375488000,105.89,102.0,104.5,8342.92,866021.18,104.95,direct,
261,1375574400,106.0,103.5,104.95,6101.21,639772.27,105.12,direct,
262,1375660800,107.77,105.0,105.12,14507.93,1543737.67,106.72,direct,
263,1375747200,107.5,105.11,106.72,12234.57,1301008.13,106.56,direct,
264,1375833600,106.96,105.22,106.56,6791.45,719935.22,105.99,direct,
265,1375920000,106.65,100.96,105.99,23221.29,2397802.03,103.05,direct,
266,1376006400,105.79,101.94,103.05,10979.39,1133150.53,102.8,direct,
267,1376092800,103.9,102.38,102.8,3411.33,351636.37,103.0,direct,
268,1376179200,105.19,102.7,103.0,7870.9,820721.72,105.0,direct,
269,1376265600,108.12,103.5,105.0,19141.6,2030771.27,106.81,direct,
270,1376352000,109.64,104.5,106.81,17808.47,1912320.25,109.6,direct,
271,1376438400,115.0,108.0,109.6,49406.68,5567652.07,112.56,direct,
272,1376524800,113.32,108.78,112.56,14794.82,1643457.67,109.99,direct,
273,1376611200,112.3,108.21,109.99,12567.48,1378751.98,108.99,direct,
274,1376697600,114.0,108.23,108.99,12258.66,1373044.65,112.75,direct,
275,1376784000,114.69,112.0,112.75,9324.88,1059845.23,113.38,direct,
276,1376870400,123.75,111.77,113.38,51420.13,6088398.47,118.5,direct,
277,1376956800,123.01,116.82,118.5,23213.86,2803868.53,121.2,direct,
278,1377043200,125.0,119.68,121.2,29616.91,3637947.82,123.3,direct,
279,1377129600,124.49,120.54,123.3,12815.39,1563933.74,122.0,direct,
280,1377216000,122.0,118.44,122.0,18231.25,2180668.6,118.51,direct,
281,1377302400,121.39,118.02,118.51,8370.82,1001638.16,119.6,direct,
282,1377388800,122.99,119.14,119.6,7101.52,864221.29,122.11,direct,
283,1377475200,122.97,119.92,122.11,10115.28,1226894.28,120.11,direct,
284,1377561600,133.0,120.0,120.11,52815.73,6753064.35,131.29,direct,
285,1377648000,131.72,128.02,131.29,11556.09,1498911.33,128.76,direct,
286,1377734400,131.2,128.18,128.76,7362.92,950327.42,129.3,direct,
287,1377820800,142.76,128.56,129.3,44989.75,6130666.31,138.03,direct,
288,1377907200,148.7,135.89,138.03,30617.8,4379539.86,141.0,direct,
289,1377993600,147.29,141.0,141.0,13933.38,2012831.97,146.01,direct,
290,1378080000,148.5,142.11,146.01,10444.51,1515953.55,144.0,direct,
291,1378166400,148.91,142.2,144.0,15761.47,2289067.06,144.0,direct,
292,1378252800,145.8,130.09,144.0,27617.96,3789771.82,132.51,direct,
293,1378339200,137.97,127.24,132.51,25687.39,3388171.05,130.2,direct,
294,1378425600,134.0,121.9,130.2,18159.82,2306510.21,121.9,direct,
295,1378512000,131.02,121.25,121.9,13551.3,1711444.13,128.99,direct,
296,1378598400,129.87,124.06,128.99,7127.43,898013.73,126.32,direct,
297,1378684800,137.48,124.0,126.32,28172.62,3713063.37,133.1,direct,
298,1378771200,136.02,131.38,133.1,7833.1,1046934.17,132.62,direct,
299,1378857600,145.9,127.5,132.62,40468.78,5561047.26,142.1,direct,
300,1378944000,145.52,137.51,142.1,19360.48,2726354.36,139.35,direct,
301,1379030400,145.6,137.82,139.35,18892.27,2701141.02,140.66,direct,
302,1379116800,142.0,136.5,140.66,8361.6,1162873.31,136.71,direct,
303,1379203200,141.0,135.04,136.71,6197.92,852533.92,138.3,direct,
304,1379289600,142.23,137.9,138.3,9267.74,1295814.54,139.42,direct,
305,1379376000,141.37,138.0,139.42,8242.27,1149306.12,139.15,direct,
306,1379462400,142.0,139.01,139.15,8189.61,1148501.39,140.41,direct,
307,1379548800,141.2,131.14,140.41,19769.45,2695293.89,135.05,direct,
308,1379635200,137.28,131.0,135.05,9923.67,1334825.55,133.81,direct,
309,1379721600,135.99,132.0,133.81,4441.25,594385.99,134.38,direct,
310,1379808000,135.0,131.0,134.38,5570.74,739648.9,134.0,direct,
311,1379894400,135.0,132.0,134.0,4464.49,596235.7,133.4,direct,
312,1379980800,136.59,132.5,133.4,6929.87,932097.52,134.78,direct,
313,1380067200,138.0,134.7,134.78,8243.79,1122963.75,135.01,direct,
314,1380153600,139.0,134.71,135.01,5222.84,712709.65,137.1,direct,
315,1380240000,142.66,134.83,137.1,25900.19,3593626.81,138.93,direct,
316,1380326400,143.0,138.02,138.93,12989.28,1827958.48,142.5,direct,
317,1380412800,145.81,141.36,142.5,17790.6,2567567.39,143.88,direct,
318,1380499200,145.81,138.12,143.88,12845.12,1825855.17,141.9,direct,
319,1380585600,144.44,139.41,141.9,7709.57,1092164.83,140.3,direct,
320,1380672000,141.93,109.7,140.3,110147.64,13742025.51,123.0,direct,
321,1380758400,132.0,120.1,123.0,34445.57,4386579.6,130.99,direct,
322,1380844800,139.8,128.5,130.99,17710.25,2387682.76,136.82,direct,
323,1380931200,138.0,135.3,136.82,4479.67,611381.98,136.7,direct,
324,1381017600,138.0,134.1,136.7,4660.13,634031.0,137.8,direct,
325,1381104000,139.0,135.12,137.8,7362.35,1006277.91,135.8,direct,
326,1381190400,137.78,135.65,135.8,5227.21,707471.17,136.49,direct,
327,1381276800,142.1,135.8,136.49,17494.19,2431349.34,139.5,direct,
328,1381363200,141.69,138.51,139.5,11075.87,1551392.78,140.41,direct,
329,1381449600,141.85,138.87,140.41,7250.91,1013106.32,140.1,direct,
330,1381536000,143.05,139.39,140.1,11024.42,1559472.71,142.89,direct,
331,1381622400,147.65,141.5,142.89,16167.47,2342049.46,147.53,direct,
332,1381708800,153.69,146.03,147.53,29993.56,4512823.6,151.37,direct,
333,1381795200,158.1,150.62,151.37,15730.1,2416464.87,158.09,direct,
334,1381881600,162.99,144.2,158.09,42783.96,6636228.59,152.82,direct,
335,1381968000,159.94,150.75,152.82,15875.81,2470394.92,157.59,direct,
336,1382054400,168.29,156.49,157.59,25893.02,4225505.93,168.28,direct,
337,1382140800,195.8,167.08,168.28,55275.66,10000685.93,183.15,direct,
338,1382227200,186.1,177.24,183.15,11418.11,2087108.13,186.1,direct,
339,1382313600,197.37,183.18,186.1,24102.06,4613540.34,192.78,direct,
340,1382400000,205.5,192.79,192.78,33864.61,6761835.59,202.99,direct,
341,1382486400,227.98,200.7,202.99,39894.52,8526441.87,227.97,direct,
342,1382572800,233.38,175.3,227.97,96749.13,19649229.29,206.98,direct,
343,1382659200,208.97,176.6,206.98,36749.63,6934330.09,197.88,direct,
344,1382745600,198.41,186.99,197.88,12085.53,2322934.87,188.56,direct,
345,1382832000,207.81,188.95,188.56,13158.09,2633454.44,206.91,direct,
346,1382918400,209.79,200.42,206.91,11072.23,2287257.98,206.9,direct,
347,1383004800,216.5,204.2,206.9,10016.58,2119311.77,216.0,direct,
348,1383091200,216.49,203.99,216.0,13472.97,2853902.33,208.0,direct,
349,1383177600,214.99,205.43,208.0,5289.31,1121246.74,211.17,direct,
350,1383264000,214.95,209.71,211.17,5882.59,1251780.71,213.43,direct,
351,1383350400,214.86,211.0,213.43,4877.16,1041300.28,211.69,direct,
352,1383436800,226.95,212.1,211.69,12274.4,2694954.86,224.0,direct,
353,1383523200,238.98,221.95,224.0,18057.57,4167915.27,238.16,direct,
354,1383609600,258.87,229.0,238.16,45100.26,11094612.74,251.3,direct,
355,1383696000,272.52,251.41,251.3,38815.71,10223786.59,264.1,direct,
356,1383782400,324.21,263.6,264.1,86133.24,25582885.97,309.65,direct,
357,1383868800,358.0,308.01,309.65,44632.99,15072022.33,355.0,direct,
358,1383955200,394.99,339.99,355.0,49910.0,18427776.08,367.79,direct,
359,1384041600,372.52,289.96,367.79,74252.72,24225281.95,336.32,direct,
360,1384128000,375.99,321.41,336.32,17999.67,6330618.38,362.98,direct,
361,1384214400,391.79,358.97,362.98,22027.67,8309810.54,380.04,direct,
